source,source_type,mentions,countries,confidence
Ministry of Health and Social Welfare,named (unclassified),1,1,medium
NGO Release International,named (unclassified),1,1,medium
UN Human Rights Council Working Group on Arbitrary Detention,named (unclassified),1,1,medium
Outright International,named (unclassified),1,1,medium
Office of Gender Equality and Equal Treatment,named (unclassified),1,1,medium
Multi-Stakeholder Forum,named (unclassified),1,1,medium
International Observatory of Lawyers,named (unclassified),1,1,medium
Eswatini Observer,named (unclassified),1,1,medium
National Development Plan,named (unclassified),1,1,medium
Eswatini Sexual and Gender Minorities,named (unclassified),1,1,medium
Ethiopian Human Rights Council (EHRCO),named (unclassified),1,1,medium
Association for Human Rights in Ethiopia,named (unclassified),1,1,medium
Ethiopian Insider,named (unclassified),1,1,medium
Oromo Legacy Leadership and Advocacy Association (OLLAA),named (unclassified),1,1,medium
EHRC in July,named (unclassified),1,1,medium
In June HRW,named (unclassified),1,1,medium
Ethiopia Insider,named (unclassified),1,1,medium
Ethiopian Women Lawyers Association (EWLA),named (unclassified),1,1,medium
Washington University,named (unclassified),1,1,medium
Disabilities Association,named (unclassified),1,1,medium
National Employment Policy and Strategy of Ethiopia,named (unclassified),1,1,medium
Fiji Independent Commission Against Corruption,named (unclassified),1,1,medium
Crisis Center,named (unclassified),1,1,medium
NGO Diverse Voices and Action for Equality,named (unclassified),1,1,medium
National Police Board,named (unclassified),1,1,medium
District Court of Helsinki,named (unclassified),1,1,medium
Dublin III Regulation,named (unclassified),1,1,medium
Istanbul Convention,named (unclassified),1,1,medium
Pirkanmaa District Court,named (unclassified),1,1,medium
Finnish Intelligence Service,named (unclassified),1,1,medium
Statistics Finland,named (unclassified),1,1,medium
Data Protection Authority,named (unclassified),1,1,medium
Sexual Mutilation,named (unclassified),1,1,medium
Berman Jewish Data Bank,named (unclassified),1,1,medium
Representative Council of Jewish Institutions,named (unclassified),1,1,medium
SOS Homophobie,named (unclassified),1,1,medium
Discrimination Local NGOs,named (unclassified),1,1,medium
State Security Service of Georgia (SSSG),named (unclassified),1,1,medium
Independent and Transparent Judiciary,named (unclassified),1,1,medium
Court Watch,named (unclassified),1,1,medium
NGO GYLA,named (unclassified),1,1,medium
Media Advocacy Coalition,named (unclassified),1,1,medium
UN Special Rapporteur on Human Rights Defenders,named (unclassified),1,1,medium
High Representative,named (unclassified),1,1,medium
Public Defender and GYLA,named (unclassified),1,1,medium
domestic observer,unnamed/generic,1,1,low
Trade Union Confederation of Georgia (GTUC),named (unclassified),1,1,medium
Hamburg OPC,named (unclassified),1,1,medium
NGO PRO ASYL,named (unclassified),1,1,medium
Deutsche Presse Agentur,named (unclassified),1,1,medium
Federal Statistical Office,named (unclassified),1,1,medium
Federal Anti-Discrimination Agency (FADA),named (unclassified),1,1,medium
Roma Life Mehmet Daimagueler,named (unclassified),1,1,medium
Minister of Interior Herbert Reul,named (unclassified),1,1,medium
Berlin NGO Maneo,named (unclassified),1,1,medium
Institute for Human Rights,named (unclassified),1,1,medium
NGO German AIDS Service Organization,named (unclassified),1,1,medium
Prisons Service,named (unclassified),1,1,medium
UN Office on Drugs and Crime,named (unclassified),1,1,medium
Statistical Service,named (unclassified),1,1,medium
Ministry for Citizen Protection,named (unclassified),1,1,medium
El Pais,named (unclassified),1,1,medium
New York Times,named (unclassified),1,1,medium
Prime Minister Mitsotakis,named (unclassified),1,1,medium
Hellenic Police and Coast Guard,named (unclassified),1,1,medium
Racist Violence Recording Network (RVRN),named (unclassified),1,1,medium
INTERSOS Greece,named (unclassified),1,1,medium
Hellenic Police,named (unclassified),1,1,medium
Vanessa Veneti Kottika,named (unclassified),1,1,medium
NGO Intersex Greece,named (unclassified),1,1,medium
In February the Labor Inspectorate,named (unclassified),1,1,medium
UN High Commissioner for Human Rights (OHCHR),named (unclassified),1,1,medium
Association of Journalists of Guatemala,named (unclassified),1,1,medium
Freedom of Association Some NGOs,named (unclassified),1,1,medium
Reproductive and Sexual Health Observatory,named (unclassified),1,1,medium
UN High Commissioner for Refugees,named (unclassified),1,1,medium
NGO Mutual Support Group,named (unclassified),1,1,medium
Guinea-Bissau Human Rights League (GBHRL),named (unclassified),1,1,medium
Too Many,named (unclassified),1,1,medium
Minister of Justice Alfonse Charles Wright,named (unclassified),1,1,medium
Association of Guinean Bloggers,named (unclassified),1,1,medium
domestic civil society groups,unnamed/generic,1,1,low
Onomo Hotel Conakry,named (unclassified),1,1,medium
In June the High Court,named (unclassified),1,1,medium
In July the High Court,named (unclassified),1,1,medium
Pan American Health Organization,named (unclassified),1,1,medium
Guyana Public Service Union,named (unclassified),1,1,medium
Guyanese Bureau of Statistics,named (unclassified),1,1,medium
UN Integrated Office in Haiti (BINUH),named (unclassified),1,1,medium
Eyes Wide Open Foundation,named (unclassified),1,1,medium
Center for Analysis and Research in Human Rights,named (unclassified),1,1,medium
Doctors Without Borders,named (unclassified),1,1,medium
Roderson Elias,named (unclassified),1,1,medium
NGO Haitian National Human Rights Defense Network,named (unclassified),1,1,medium
Status and Rights of Women,named (unclassified),1,1,medium
Neges Mawon,named (unclassified),1,1,medium
Better Work Haiti (BWH),named (unclassified),1,1,medium
Institute for Social Well-Being and Research,named (unclassified),1,1,medium
National Human Rights Commission (CONADEH),named (unclassified),1,1,medium
CONADEH and CONAPREV,named (unclassified),1,1,medium
Ministry of Security,named (unclassified),1,1,medium
National Center for Social Sector Information,named (unclassified),1,1,medium
Hungarian Helsinki Committee (HHC),named (unclassified),1,1,medium
domestic media outlet,unnamed/generic,1,1,low
Media Plurality Monitor,named (unclassified),1,1,medium
In June the European Court of Justice (ECJ),named (unclassified),1,1,medium
Anti-corruption NGOs,named (unclassified),1,1,medium
Corruption Research Center Budapest,named (unclassified),1,1,medium
European Anti-Fraud Office (OLAF),named (unclassified),1,1,medium
Office Minister Gergely Gulyas,named (unclassified),1,1,medium
Pro-Roma NGOs,named (unclassified),1,1,medium
In June the ILO,named (unclassified),1,1,medium
World Press Freedom Index,named (unclassified),1,1,medium
High Court of J&K,named (unclassified),1,1,medium
NGO International Center for Research on Women,named (unclassified),1,1,medium
Registrar General,named (unclassified),1,1,medium
Members of Bnei Menashe,named (unclassified),1,1,medium
Indian Psychiatric Society,named (unclassified),1,1,medium
Minister Athawale,named (unclassified),1,1,medium
Political Prisoners and Detainees NGOs,named (unclassified),1,1,medium
Europe-based NGO Human Rights Monitor (HRM),named (unclassified),1,1,medium
Melki Sedek Huang,named (unclassified),1,1,medium
Refugees and NGOs,named (unclassified),1,1,medium
In April the NGO Indonesia Corruption Watch,named (unclassified),1,1,medium
Coalition of Safe Public Space,named (unclassified),1,1,medium
National Commission on Violence Against Women,named (unclassified),1,1,medium
Abdorrahman Boroumand Center,named (unclassified),1,1,medium
Twelver Shia Islam,named (unclassified),1,1,medium
Fatemeh Sepehri,named (unclassified),1,1,medium
Khaled Pirzadeh,named (unclassified),1,1,medium
Intelligence Minister Esmail Khatib,named (unclassified),1,1,medium
Norwegian Police Security Service Hanne Blomberg,named (unclassified),1,1,medium
Washington D.C.-based National Union for Democracy in Iran,named (unclassified),1,1,medium
Marzieh Mohebbi,named (unclassified),1,1,medium
Center for Human Rights in Iran (CHRI),named (unclassified),1,1,medium
Atlantic Council,named (unclassified),1,1,medium
Abbas Ali Kadkhodaei,named (unclassified),1,1,medium
domestic activists,unnamed/generic,1,1,low
IranWire and The Guardian,named (unclassified),1,1,medium
IRGC-affiliated Fars News Agency,named (unclassified),1,1,medium
National Organization for Civil Registration,named (unclassified),1,1,medium
Mahsa Zhina Amini,named (unclassified),1,1,medium
International Community (BIC),named (unclassified),1,1,medium
Faezeh Hashemi,named (unclassified),1,1,medium
Socially Disadvantaged Affairs Office,named (unclassified),1,1,medium
Social Welfare,named (unclassified),1,1,medium
Iranian National Tax Administration,named (unclassified),1,1,medium
Iraqi Observatory for Human Rights,named (unclassified),1,1,medium
Iraqi Human Rights Observatory,named (unclassified),1,1,medium
Press Freedom Advocacy Association,named (unclassified),1,1,medium
Erbil-based Organization of Reporters for Rights and Development,named (unclassified),1,1,medium
KRG Ministry of Culture and Youth,named (unclassified),1,1,medium
UNAMI Special Representative,named (unclassified),1,1,medium
KRG Ministry of Health,named (unclassified),1,1,medium
Federal Intelligence and Investigation Agency,named (unclassified),1,1,medium
NGOs IraQueer and Outright,named (unclassified),1,1,medium
COR Committee on Labor and Social Affairs,named (unclassified),1,1,medium
In July the Prison Service,named (unclassified),1,1,medium
Irish Penal Reform Trust,named (unclassified),1,1,medium
Jerusalem Post,named (unclassified),1,1,medium
NGO Public Committee Against Torture in Israel (PCATI),named (unclassified),1,1,medium
Mossawa Center for Arab Citizens in Israel,named (unclassified),1,1,medium
Israel Prison Service,named (unclassified),1,1,medium
Hotline for Refugees and Migrants (HRM),named (unclassified),1,1,medium
Protect Journalists (CPJ),named (unclassified),1,1,medium
Jerusalem Municipality,named (unclassified),1,1,medium
East Jerusalem,named (unclassified),1,1,medium
Shin Bet,named (unclassified),1,1,medium
Israeli Committee Against House Demolitions,named (unclassified),1,1,medium
Israeli NGO Gisha,named (unclassified),1,1,medium
Palestinian Center for Development and Media Freedoms,named (unclassified),1,1,medium
Palestinian Journalists Syndicate,named (unclassified),1,1,medium
Ben Gvir,named (unclassified),1,1,medium
Cyber Unit,named (unclassified),1,1,medium
Tel Aviv,named (unclassified),1,1,medium
Police Commissioner Kobi Shabtai,named (unclassified),1,1,medium
NGO Aid Organization for Refugees and Asylum Seekers in Israel (ASSAF),named (unclassified),1,1,medium
NGO Aguda,named (unclassified),1,1,medium
Amnesty Israel,named (unclassified),1,1,medium
Jerusalem Institute for Policy Research,named (unclassified),1,1,medium
Civil Service Commission,named (unclassified),1,1,medium
Union of Arab Students,named (unclassified),1,1,medium
Ethiopian Jews,named (unclassified),1,1,medium
Justice Ministry,named (unclassified),1,1,medium
Yves Society,named (unclassified),1,1,medium
NGO Ir Amim,named (unclassified),1,1,medium
Central Bureau of Statistics,named (unclassified),1,1,medium
Knesset Yitzhak Pindrus of United Torah Judaism,named (unclassified),1,1,medium
Mossawa Center,named (unclassified),1,1,medium
European Roma Rights Center,named (unclassified),1,1,medium
Center of Contemporary Jewish Documentation,named (unclassified),1,1,medium
UN Program on HIV and AIDS,named (unclassified),1,1,medium
NGO Equality for All Foundation,named (unclassified),1,1,medium
February the Ministry of Justice,named (unclassified),1,1,medium
Public Prosecutors Office,named (unclassified),1,1,medium
Cabinet Office,named (unclassified),1,1,medium
Gender Equality Bureau Survey,named (unclassified),1,1,medium
Nakaoka Shun,named (unclassified),1,1,medium
National Center for Human Rights (NCHR),named (unclassified),1,1,medium
PSD Human Rights and Transparency Office,named (unclassified),1,1,medium
Human Rights and Transparency Office,named (unclassified),1,1,medium
Amman Public Prosecutor,named (unclassified),1,1,medium
Center for Defending Freedom of Journalists (CDFJ),named (unclassified),1,1,medium
Middle East Eye,named (unclassified),1,1,medium
NGO Front Line Defenders,named (unclassified),1,1,medium
New Arab,named (unclassified),1,1,medium
NGO Sisterhood Is Global Institute,named (unclassified),1,1,medium
Roya News,named (unclassified),1,1,medium
United Kingdom-based,named (unclassified),1,1,medium
Bio Med Central,named (unclassified),1,1,medium
Minority Rights Group International,named (unclassified),1,1,medium
Open Observatory of Network Interference,named (unclassified),1,1,medium
International Labour Organization,UN body,1,1,high
Coalition Against Torture,named (unclassified),1,1,medium
Human Rights Ombudsman,named (unclassified),1,1,medium
Prison and Detention Center Conditions Observers,named (unclassified),1,1,medium
Torture (NPM),named (unclassified),1,1,medium
Group of European States Against Corruption,named (unclassified),1,1,medium
Dina Yegeubaeva,named (unclassified),1,1,medium
President Tokayev,named (unclassified),1,1,medium
FTUK Chair Satybaldy Dauletallin,named (unclassified),1,1,medium
Ministry of Labor and Social Protection,named (unclassified),1,1,medium
Kenya National Commission on Human Rights (KNCHR),named (unclassified),1,1,medium
NGO Independent Medico-Legal Unit (IMLU),named (unclassified),1,1,medium
NGO Muslims for Human Rights,named (unclassified),1,1,medium
NGO Internal Displacement Monitoring Center,named (unclassified),1,1,medium
FP2030 Track20 Family Planning Estimation Tool,named (unclassified),1,1,medium
Bureau of Statistic,named (unclassified),1,1,medium
Kiribati Trade Union Congress,named (unclassified),1,1,medium
independent human rights organization,unnamed/generic,1,1,low
Prosecutorial Council,named (unclassified),1,1,medium
Constitutional Court,named (unclassified),1,1,medium
Humanitarian Law Center in Kosovo,named (unclassified),1,1,medium
Humanitarian Law Center,named (unclassified),1,1,medium
Kosovo Police,named (unclassified),1,1,medium
Association of Journalists in Kosovo (AJK),named (unclassified),1,1,medium
Kosovan Serbs,named (unclassified),1,1,medium
Center for Social Group Development,named (unclassified),1,1,medium
Kuwait News Agency,named (unclassified),1,1,medium
Ministry of Information,named (unclassified),1,1,medium
Civic Initiative on Internet Policy,named (unclassified),1,1,medium
Ethnic Uzbeks,named (unclassified),1,1,medium
In June the UN,named (unclassified),1,1,medium
Child Protection League,named (unclassified),1,1,medium
Kyrgyz Indigo,named (unclassified),1,1,medium
Labrys Public Foundation,named (unclassified),1,1,medium
Ministry of Labor and Social Welfare,named (unclassified),1,1,medium
Lebanese Center for Human Rights,named (unclassified),1,1,medium
Samir Kassir Eyes Foundation,named (unclassified),1,1,medium
Megaphone News,named (unclassified),1,1,medium
While the LAF,named (unclassified),1,1,medium
Lebanese Association for Democratic Elections,named (unclassified),1,1,medium
NGO Helem,named (unclassified),1,1,medium
Society for Inclusion and Development (SIDC),named (unclassified),1,1,medium
LCS Commissioner Mating Nkakala,named (unclassified),1,1,medium
National Security Service Director General Pheello Ralenkoane,named (unclassified),1,1,medium
Minister of Finance and Development Planning Retselisitsoe Matlanyane,named (unclassified),1,1,medium
Worker Rights Consortium,named (unclassified),1,1,medium
NGO Federation of Women Lawyers,named (unclassified),1,1,medium
LNFOD Executive Director Sefuthi,named (unclassified),1,1,medium
Discrimination Media,named (unclassified),1,1,medium
Lesotho Police Staff Association (LEPOSA),named (unclassified),1,1,medium
Press Union,named (unclassified),1,1,medium
Integrity Watch Liberia,named (unclassified),1,1,medium
Community Services Section,named (unclassified),1,1,medium
Labor Congress,named (unclassified),1,1,medium
UN Independent Fact-Finding Mission on Libya,named (unclassified),1,1,medium
International Commission on Missing Persons,named (unclassified),1,1,medium
UN Panel of Experts on Libya,named (unclassified),1,1,medium
Euro-Med Human Rights Monitor,named (unclassified),1,1,medium
international civil society groups,unnamed/generic,1,1,low
Benghazi-based General Intelligence Service,named (unclassified),1,1,medium
Panel of Experts,named (unclassified),1,1,medium
Transnational Organized Crime,named (unclassified),1,1,medium
Ministry of Interior Border Guards,named (unclassified),1,1,medium
Constitutional Declaration,named (unclassified),1,1,medium
Platform for Peace,named (unclassified),1,1,medium
Cairo Institute for Human Rights Studies,named (unclassified),1,1,medium
Department for Equal Opportunity,named (unclassified),1,1,medium
Liechtenstein Institute,named (unclassified),1,1,medium
State Border Guard Service,named (unclassified),1,1,medium
Transgender Europe,named (unclassified),1,1,medium
Inspector of Ethics of Journalists,named (unclassified),1,1,medium
NGO Research and Information on Anti-Semitism in Luxembourg,named (unclassified),1,1,medium
National Independent Human Rights Commission (CNIDH),named (unclassified),1,1,medium
March the Pasteur Institute of Madagascar,named (unclassified),1,1,medium
Bar Association,named (unclassified),1,1,medium
UN Subcommittee on Prevention of Torture,named (unclassified),1,1,medium
La Gazette,named (unclassified),1,1,medium
Minors and Child Protection Brigade,named (unclassified),1,1,medium
MHRC and NGOs,named (unclassified),1,1,medium
multiple ngos,unnamed/generic,1,1,low
Development of People,named (unclassified),1,1,medium
NGO Nyasa Rainbow Alliance,named (unclassified),1,1,medium
Nyasa Rainbow Alliance,named (unclassified),1,1,medium
National AIDS Commission,named (unclassified),1,1,medium
Congress of Trade Unions,named (unclassified),1,1,medium
Malaysian Bar Council,named (unclassified),1,1,medium
Minister of Home Affairs Saifuddin Nasution,named (unclassified),1,1,medium
Asia Pacific Resource and Research Centre for Women,named (unclassified),1,1,medium
Association of Women Lawyers,named (unclassified),1,1,medium
In March the NGO Centre for Independent Journalism,named (unclassified),1,1,medium
Abdul Hadi Awang,named (unclassified),1,1,medium
Prime Minister Mahathir,named (unclassified),1,1,medium
Global Trans Rights Index,named (unclassified),1,1,medium
NGO Justice for Sisters,named (unclassified),1,1,medium
Disability-rights NGOs,named (unclassified),1,1,medium
Although the National Union of Plantation Workers,named (unclassified),1,1,medium
Department of Occupational Safety and Health,named (unclassified),1,1,medium
Human Rights Commission of Maldives (HRCM),named (unclassified),1,1,medium
Professional Standards Command,named (unclassified),1,1,medium
Transparency Maldives,named (unclassified),1,1,medium
Anti-Corruption Commission,named (unclassified),1,1,medium
Authorities and NGOs,named (unclassified),1,1,medium
In October the Supreme Court,named (unclassified),1,1,medium
NGO Aide Infos Liberte Solidarite,named (unclassified),1,1,medium
Search of Persons,named (unclassified),1,1,medium
Undersecretary of Human Rights Alejandro Encinas,named (unclassified),1,1,medium
National Search Commission,named (unclassified),1,1,medium
National Mechanism,named (unclassified),1,1,medium
NGO Committee,named (unclassified),1,1,medium
Animal Político,named (unclassified),1,1,medium
Ciudad Juárez,named (unclassified),1,1,medium
Aristegui Noticias,named (unclassified),1,1,medium
National Public Security System,named (unclassified),1,1,medium
National Population Council,named (unclassified),1,1,medium
National Statistical Institute (INEGI),named (unclassified),1,1,medium
National Survey on Discrimination,named (unclassified),1,1,medium
Black Alliance for Just Immigration,named (unclassified),1,1,medium
Evaluation of Social Development Policy,named (unclassified),1,1,medium
National Survey of Sexual Diversity and Gender,named (unclassified),1,1,medium
Discrimination The Catholic Multimedia Center,named (unclassified),1,1,medium
Antitorture Prosecution Office,named (unclassified),1,1,medium
Superior Council of Magistrates,named (unclassified),1,1,medium
Justice NGOs,named (unclassified),1,1,medium
Attorneys in Transnistria,named (unclassified),1,1,medium
General Police Inspectorate,named (unclassified),1,1,medium
National Anticorruption Center,named (unclassified),1,1,medium
Jewish Community of Moldova,named (unclassified),1,1,medium
National Police Agency,named (unclassified),1,1,medium
LGBT Center,named (unclassified),1,1,medium
Down Syndrome Association of Mongolia,named (unclassified),1,1,medium
Human Rights Action (HRA),named (unclassified),1,1,medium
Digital Forensic Center,named (unclassified),1,1,medium
NGO Civic Alliance,named (unclassified),1,1,medium
Civic Alliance,named (unclassified),1,1,medium
Office for Democratic Institutions and Human Rights (ODIHR),named (unclassified),1,1,medium
NGO SOS,named (unclassified),1,1,medium
NGO Young Roma,named (unclassified),1,1,medium
Montenegrin HIV Foundation,named (unclassified),1,1,medium
General Delegation for Prison Administration and Reintegration (DGAPR),named (unclassified),1,1,medium
NGOs in Western Sahara,named (unclassified),1,1,medium
Global Alliance of National Human Rights Institutions,named (unclassified),1,1,medium
Higher Commission for Planning (HCP),named (unclassified),1,1,medium
In September OAM,named (unclassified),1,1,medium
Media Institute of Southern Africa in Mozambique (MISA),named (unclassified),1,1,medium
National Institute for Refugee Support,named (unclassified),1,1,medium
Social Action,named (unclassified),1,1,medium
Mozambican Network of Human Rights Defenders,named (unclassified),1,1,medium
Inhambane Province,named (unclassified),1,1,medium
Safety and Security,named (unclassified),1,1,medium
Some San,named (unclassified),1,1,medium
Ombudsman Annual Report,named (unclassified),1,1,medium
Namibian Employers,named (unclassified),1,1,medium
Terai Human Rights Defenders Alliance,named (unclassified),1,1,medium
Attorney General (OAG),named (unclassified),1,1,medium
NGO Informal Sector Service Center,named (unclassified),1,1,medium
Anti-Human Trafficking Bureau,named (unclassified),1,1,medium
Justice Mainali,named (unclassified),1,1,medium
In May the Inspectorate of Justice and Security,named (unclassified),1,1,medium
September the Agency,named (unclassified),1,1,medium
Sint Maarten,named (unclassified),1,1,medium
In March Erasmus University,named (unclassified),1,1,medium
NGOs in Aruba and Curaçao,named (unclassified),1,1,medium
Dutch Foreign Ministry,named (unclassified),1,1,medium
State Secretary Eric,named (unclassified),1,1,medium
Dutch Council of Psychiatrists,named (unclassified),1,1,medium
Karen Vanessa Chavarria Morales,named (unclassified),1,1,medium
NGO SOS-Woman Child Victims of Domestic Violence,named (unclassified),1,1,medium
NGO ElectHER,named (unclassified),1,1,medium
Nigeria Demographic and Health Survey,named (unclassified),1,1,medium
NGO TAF Africa,named (unclassified),1,1,medium
In September Radio Free Asia (RFA),named (unclassified),1,1,medium
ROK NGOs,named (unclassified),1,1,medium
Report on North Korea Human Rights,named (unclassified),1,1,medium
White Paper on Human Rights,named (unclassified),1,1,medium
Korea Future,named (unclassified),1,1,medium
In June the ROK-based NGO PSCORE,named (unclassified),1,1,medium
NGO Database Center for North Korean Human Rights,named (unclassified),1,1,medium
In July RFA,named (unclassified),1,1,medium
Seoul-based NGO People for Successful Corean Reunification,named (unclassified),1,1,medium
Professional Standards Unit (PSU),named (unclassified),1,1,medium
Department for Enforcement of Sanctions (DES),named (unclassified),1,1,medium
Macedonian Young Lawyers Association (MYLA),named (unclassified),1,1,medium
Commission for Prevention and Protection Against Discrimination,named (unclassified),1,1,medium
In January the Judicial Council (JC),named (unclassified),1,1,medium
Office (PPO),named (unclassified),1,1,medium
Islamic Religious Community (IRC),named (unclassified),1,1,medium
In August the Investigative Reporting Lab (IRL),named (unclassified),1,1,medium
State Commission for Prevention of Corruption (SCPC),named (unclassified),1,1,medium
NGO Health Education and Research Association,named (unclassified),1,1,medium
CSO Romalitico,named (unclassified),1,1,medium
Roma-led CSO Romalitico,named (unclassified),1,1,medium
Skopje Basic PPO,named (unclassified),1,1,medium
Disability CSOs,named (unclassified),1,1,medium
Institute for Public Health,named (unclassified),1,1,medium
Statistics Norway,named (unclassified),1,1,medium
Omani Association of Human Rights,named (unclassified),1,1,medium
Omani Association for Human Rights,named (unclassified),1,1,medium
Lebanon-based Gulf Centre for Human Rights,named (unclassified),1,1,medium
Voice for Sindhi Missing Persons,named (unclassified),1,1,medium
Human Rights Council of Balochistan,named (unclassified),1,1,medium
Human Rights Commission of Pakistan (HRCP),named (unclassified),1,1,medium
Ministry for Law,named (unclassified),1,1,medium
South Asia Terrorism Portal,named (unclassified),1,1,medium
Baloch Human Rights Council,named (unclassified),1,1,medium
Qatar-based Al-Jazeera,named (unclassified),1,1,medium
Police and NGOs,named (unclassified),1,1,medium
Islamabad Transgender Protection Unit,named (unclassified),1,1,medium
Tahafuz Center,named (unclassified),1,1,medium
Pakistan Institute of Labor Education and Research,named (unclassified),1,1,medium
NGO Living All Inclusive in Belau (LAIIB),named (unclassified),1,1,medium
Aubrey Baxter,named (unclassified),1,1,medium
International Coalition of Women and Family,named (unclassified),1,1,medium
National Court,named (unclassified),1,1,medium
Asylum Seeker Resource Center,named (unclassified),1,1,medium
International Foundation for Electoral Systems,named (unclassified),1,1,medium
World Report,named (unclassified),1,1,medium
Exploited Children,named (unclassified),1,1,medium
Australia-based NGO Many Coloured Sky,named (unclassified),1,1,medium
Discrimination Press,named (unclassified),1,1,medium
United Church in Hela Province,named (unclassified),1,1,medium
independent civil society groups,unnamed/generic,1,1,low
Electoral Supreme Court,named (unclassified),1,1,medium
NGOs SOMOS GAY and Panambi,named (unclassified),1,1,medium
President Boluarte,named (unclassified),1,1,medium
National Penitentiary Institute,named (unclassified),1,1,medium
Institute of Press and Society,named (unclassified),1,1,medium
Legal Defense Institute,named (unclassified),1,1,medium
National Coordinator for Human Rights,named (unclassified),1,1,medium
Dahas PH,named (unclassified),1,1,medium
Bureau of Corrections,named (unclassified),1,1,medium
Task Force,named (unclassified),1,1,medium
Philippines (NUJP),named (unclassified),1,1,medium
Qurium Media Foundation,named (unclassified),1,1,medium
Application of Standards,named (unclassified),1,1,medium
Human Rights Commissioner,named (unclassified),1,1,medium
Ukraine Seeking Protection in Poland,named (unclassified),1,1,medium
Warsaw Praga- Poludnie District Court,named (unclassified),1,1,medium
Federation for Women and Family Planning,named (unclassified),1,1,medium
Antisemitism The Union of Jewish Communities,named (unclassified),1,1,medium
State Secretariat for Citizenship and Equality,named (unclassified),1,1,medium
Disabled (APD),named (unclassified),1,1,medium
Center for Independent Life,named (unclassified),1,1,medium
Fair Square,named (unclassified),1,1,medium
Qatar University,named (unclassified),1,1,medium
In July the Ministry of Interior,named (unclassified),1,1,medium
NGO Migrant Rights,named (unclassified),1,1,medium
In August the Gender in Geopolitics Institute,named (unclassified),1,1,medium
Crina Boros,named (unclassified),1,1,medium
National Council,named (unclassified),1,1,medium
Protection of National Minorities,named (unclassified),1,1,medium
Save the Children Romania,named (unclassified),1,1,medium
NGO ACCEPT,named (unclassified),1,1,medium
Center for Legal Resources,named (unclassified),1,1,medium
NGO Center for Legal Resources,named (unclassified),1,1,medium
NGO Memorial,named (unclassified),1,1,medium
Novaya Gazeta Europe,named (unclassified),1,1,medium
International Press Institute,named (unclassified),1,1,medium
State Duma Committee on Foreign Interference,named (unclassified),1,1,medium
Organized Crime and Corruption Reporting Project,named (unclassified),1,1,medium
NGO ANNA Center,named (unclassified),1,1,medium
ANNA Center,named (unclassified),1,1,medium
NGOs in Dagestan,named (unclassified),1,1,medium
Antidiscrimination Center Memorial,named (unclassified),1,1,medium
Russian Jewish Congress (RJC),named (unclassified),1,1,medium
Federation of Jewish Communities,named (unclassified),1,1,medium
Sphere Foundation,named (unclassified),1,1,medium
Russian LGBT Network,named (unclassified),1,1,medium
Association of Russian-speaking Intersex,named (unclassified),1,1,medium
Labor Authorities,named (unclassified),1,1,medium
European-Saudi Organization for Human Rights (ESOHR),named (unclassified),1,1,medium
Reprieve and ESOHR,named (unclassified),1,1,medium
Prisoners of Conscience and Sanad,named (unclassified),1,1,medium
Sanad and Prisoners of Conscience,named (unclassified),1,1,medium
UN Committee,named (unclassified),1,1,medium
UN Security Council Panel of Experts on Yemen,named (unclassified),1,1,medium
Worldwide Information Network of Abductees (THEWINA),named (unclassified),1,1,medium
Prisoners of Conscience and SANAD,named (unclassified),1,1,medium
Prisoners of Conscience,named (unclassified),1,1,medium
ALQST and Prisoners of Conscience,named (unclassified),1,1,medium
While the HRC and NSHR,named (unclassified),1,1,medium
Authority for Persons,named (unclassified),1,1,medium
Ministry of Health and Social Action,named (unclassified),1,1,medium
Appeals Chamber,named (unclassified),1,1,medium
Belgrade Center for Human Rights,named (unclassified),1,1,medium
Milorad Ivanovic,named (unclassified),1,1,medium
Election Observation Mission,named (unclassified),1,1,medium
Belgrade Mayor Aleksandar Sapic,named (unclassified),1,1,medium
Gender Equality Council,named (unclassified),1,1,medium
Jewish Community in Belgrade,named (unclassified),1,1,medium
President Vucic,named (unclassified),1,1,medium
Department of Social Affairs,named (unclassified),1,1,medium
Special Investigation Committee (SIC),named (unclassified),1,1,medium
Sierra Leone Correctional Services (SLCS),named (unclassified),1,1,medium
HRCSL and Prison Watch Sierra Leone (PWSL),named (unclassified),1,1,medium
PWSL and DHRMGs,named (unclassified),1,1,medium
HRCSL and PWSL,named (unclassified),1,1,medium
Ministry of Social Welfare Affairs,named (unclassified),1,1,medium
NGOs and HRCSL,named (unclassified),1,1,medium
NGO Girls Not Brides,named (unclassified),1,1,medium
NGO Save the Children,named (unclassified),1,1,medium
NGO Dignity Association,named (unclassified),1,1,medium
Disabilities-Sierra Leone and NGOs,named (unclassified),1,1,medium
Albinism Royal Foundation Sierra Leone,named (unclassified),1,1,medium
local academics,unnamed/generic,1,1,low
Prime Minister Lee,named (unclassified),1,1,medium
Societies Act,named (unclassified),1,1,medium
Singapore Muslim Women,named (unclassified),1,1,medium
Specialized Criminal Court,named (unclassified),1,1,medium
Bureau of Border and Foreign Police,named (unclassified),1,1,medium
Group of States Against Corruption (GRECO),named (unclassified),1,1,medium
Minister of Health Zuzana Dolinkova,named (unclassified),1,1,medium
President Caputova,named (unclassified),1,1,medium
Presov District Court,named (unclassified),1,1,medium
Trencin District Court,named (unclassified),1,1,medium
Internet Watch Foundation,named (unclassified),1,1,medium
Slovak Republic,named (unclassified),1,1,medium
